Operator,Rute,Merek,Model,Karoseri,Tipe,Nomor Lambung
TJ,"1,2,7,9,4D,9C,10H,B25,B41,P11,S61",Mercedes-Benz,OH 1626,Laksana,Transjakarta,TJ388-TJ408
TJ,"7,B25,P11,S61",Mercedes-Benz,OH 1626,Restu Ibu Pusaka,Transjakarta,TJ469-TJ482 
TJ,"3E,6K,B25,D41,P11,S61",Mercedes-Benz,OH 1626,Laksana,Transjakarta,TJ872-TJ881
TJ,"1,3,4,5,7,9,3H,4D,5C,9C,B25,D41,P11",Mercedes-Benz,OH 1526,"Tentrem,Laksana,Rahayu Sentosa,Tri Sakti",Transjakarta,TJ247-TJ346
TJ,"1,9,9C",Mercedes-Benz,OC 500 RF,Nusantara Gemilang,Transjakarta,TJ355-TJ380
TJ,"2,3,4,10,12,14,2A,3H,4D,9A",Hino,RK1 JSNL,New Armada,Transjakarta,TJ409-TJ460
TJ,"1,2,9,9C,13B",Scania,K320IA,Laksana,Transjakarta,TJ188-TJ238
TJ,"1R,2P,7W,B11,B21,D11,S22,SH1,T12",Mercedes-Benz,O500U 1726,Laksana,Metrotrans,TJ483-TJ531
TJ,"1H,2P,2Q,5F,5M,6D,7W,B11,B21,D11,S22,SH1,T12",Mercedes-Benz,O500U 1726,Nusantara Gemilang,Metrotrans,TJ782-TJ871
TJ,N/A,Mercedes-Benz,OF 917,"Tentrem, New Armada",Royaltrans,TJ532-TJ631
TJ,"1N,1P,2B,4C,4F,5F,D11,S11,T11",Scania,K250UB,Laksana,Metrotrans,TJ632-781
TJ,"3D,3E,5N,6W,8K.8M,11D,14B",Mitsubishi,Colt FE 84G,New Armada,Minitrans,TSW001-100
DMR,"1,2,4,6,12,7,9,10,12,14,5C,6A,6B,1A,4K,6H,6K",Skywell,NJL6126BEV,CBU,Transjakarta,DMR240155-DMR250274
DMR,"1,2,4,5,6,8,10,8,9,2A,5C,6A,6B",Zhongtong,N12,CBU,Transjakarta,DMR240125-DMR250224
DMR,"1,2,5,9,10,5C,9C,7C,7R,7T,7U",Zhongtong,LCK6180GC,CBU,Transjakarta,DMR705-DMR760
DMR,"7,9,12,9A,9C,5B,6H,6M,7D,9E,12B,14A,7V,11Q",Hino,RK8 R260,Restu Ibu Pusaka,Transjakarta,DMR104-153
DMR,"7,9,12,9A,9C,5B,6H,6M,7D,9E,12B,14A,7V,11Q",Hino,RK8 R260,Rahayu Sentosa,Transjakarta,DMR154-353
DMR,"7,9,12,9A,9C,5B,6H,6M,7D,9E,12B,14A,7V,11Q",Hino,RK8 R260,Laksana,Transjakarta,DMR354-704
DMR,"4C,4F,11W",Skywell,NJL6129BEV,CBU,Metrotrans,DMR230099-DMR230124
BMP,"1,2,3,4,5,6,7,8,11,13,3F,6A,6B,6V,7F",Mercedes-Benz,OH 1626,Tri Sakti,Transjakarta,BMP242-BMP220299
BMP,"1,6,8,6A,6B,6V",Golden Dragon,Pivot E12,CBU,Transjakarta,BMP240322-BMP240411
BMP,"1P,4B,6D,D21,S21",Golden Dragon,Pivot E12,CBU,Metrotrans,BMP230300-BMP230321
BMP,7B,Isuzu,NQR 71,Tri Sakti,Minitrans,BMP240412-BML240432
MYS,"1,3,5,7,9,10,13,3F,5C,7F,9A,10D,10H,13E,L13E,7C",Scania,K310IB,Laksana,Transjakarta,MYS17001-MYS18150
MB,"1,2,3,9,10,13,3F,5C,9A,9C,13B",Scania,K320IA,Laksana,Transjakarta,MB 1601-MB 1656
MYS,"1,3,7,9,12,3F,7F,9C,9N,6H,6M,P11,S61,T31,1A,7C,B41,5C",Mercedes-Benz,OH 1626,Laksana,Transjakarta,MYS 18151-MYS 19223
MYS,"9,9C,9N,1B,1F,6H,9D,12P,6Q,10D,B25,P11,S61,T31,B41",Mercedes-Benz,OH 1626,Laksana,Transjakarta,MYS21224-MYS21333
MYS,"1E,4B,5M,7A,D21",BYD,B12,CBU,Metrotrans,MYS22334-MYS23385
BHL,7D,Hino,RN8 285,Laksana,Transjakarta,BHL220508-BHL220515
MBT,"6U,7B",Hino,GB 150L,Laksana,Minitrans,MBT240601-MBT240628
KBM,"1C,8E,8D",Hino,FB 130,Trisakti,Minitrans,KBM220001-KBM220022
JDM,"1M,1Q,3E,5N,8N,6D,6N,6T,8D,8C",Hino,GB 150L,Laksana,Minitrans,JDM 230001-JDM240094
PKT,"2,2A",Mercedes-Benz,OH 1626,Laksana,Transjakarta,PKT101-115
SAF,"3,5,10,11,3F,3H,4D,5C,9A,10H,2A,6M",Volvo,B11R,Laksana,Transjakarta,SAF001-SAF119
SJM,"10,14",BYD,D9,Laksana,Transjakarta,SJM240001-SJM240020
PSU,"7B,7P",Isuzu,NQR 71,Laksana,Metrotrans,PSU240001-PSU2400018
SGI,"6N,9H",Isuzu,NQR 71,Laksana,Metrotrans,SGI-240001-SGI2400015
